id,en,ru,tat,es,kor
research.crashlanding.name,Crashlanding,Аварийная посадка,Аварияле утырту,Aterrizaje Forzoso,비상 착륙
research.crashlanding.desc,Unlocks the ability to deorbit space objects,Разблокирует возможность выводить космические объекты с орбиты,Космик объектларны орбитадан чыгару мөмкинлеген ача,Desbloquea la habilidad de desorbitar objetos espaciales,궤도에서 이탈시키는 기능을 제공한다
research.theorycrafting1.name,Theorycrafting I,Разработка Теорий I,Теория булдыру I,Teorización I,이론을 구성하기 I
research.theorycrafting1.desc,Enhances the efficiency of developing new theories,Улучшает эффективность разработки новых теорий,Яңа теорияләр булдыру нәтиҗәлелеген арттыра,Mejora la eficiencia del desarrollo de nuevas teorías,새로운 이론 개발의 효율성을 높인다
research.theorycrafting2.name,Theorycrafting II,Разработка Теорий II,Теория булдыру II,Teorización II,이론을 구성하기 II
research.theorycrafting2.desc,Enhances the efficiency of developing new theories,Улучшает эффективность разработки новых теорий,Яңа теорияләр булдыру нәтиҗәлелеген арттыра,Mejora la eficiencia del desarrollo de nuevas teorías,새로운 이론 개발의 효율성을 높인다
research.theorycrafting3.name,Theorycrafting III,Разработка Теорий III,Теория булдыру III,Teorización III,이론을 구성하기 III
research.theorycrafting3.desc,Enhances the efficiency of developing new theories,Улучшает эффективность разработки новых теорий,Яңа теорияләр булдыру нәтиҗәлелеген арттыра,Mejora la eficiencia del desarrollo de nuevas teorías,새로운 이론 개발의 효율성을 높인다
research.engineering1.name,Engineering I,Инженерия I,Инженерлык I,Ingeniería I,공학 I
research.engineering1.desc,Increases longevity of satellites,Увеличивает срок службы спутников,Иярченнәрнең хезмәт итү вакытын арттыра,Aumenta la duración de los satélites,위성의 수명을 높인다
research.engineering2.name,Engineering II,Инженерия II,Инженерлык II,Ingeniería II,공학 II
research.engineering2.desc,Increases longevity of satellites,Увеличивает срок службы спутников,Иярченнәрнең хезмәт итү вакытын арттыра,Aumenta la duración de los satélites,위성의 수명을 높인다
research.structural_integrity1.name,Structural Integrity I,Структурная Целостность I,Конструкция ныклыгы I,Integridad Estructural I,구조적 완전성 I
research.structural_integrity1.desc,Satellites break into fewer pieces on collision,Уменьшает количество осколков в случае столкновения спутников,Иярченнәр бәрелешкәндә азрак калдыкларга таркалалар,Los Satélites se rompen en menos pedazos en caso de colisión,위성이 충돌할 때 부서지는 잔해의 양을 줄인다
research.structural_integrity2.name,Structural Integrity II,Структурная Целостность II,Конструкция ныклыгы II,Integridad Estructural II,구조적 완전성 II
research.structural_integrity2.desc,Satellites break into fewer pieces on collision,Уменьшает количество осколков в случае столкновения спутников,Иярченнәр бәрелешкәндә азрак калдыкларга таркалалар,Los Satélites se rompen en menos pedazos en caso de colisión,위성이 충돌할 때 부서지는 잔해의 양을 줄인다
research.data_compression1.name,Data Compression I,Сжатие Данных I,Мәгълүматны кысу I,Compresión de Datos I,데이터 압축 I
research.data_compression1.desc,Increases efficiency of satellites,Увеличивает эффективность спутников,Иярченнәрнең нәтиҗәлелеген арттыра,Aumenta la eficiencia de los satélites,위성의 효율을 높인다
research.data_compression2.name,Data Compression II,Сжатие Данных II,Мәгълүматны кысу II,Compresión de Datos II,데이터 압축 II
research.data_compression2.desc,Increases efficiency of satellites,Увеличивает эффективность спутников,Иярченнәрнең нәтиҗәлелеген арттыра,Aumenta la eficiencia de los satélites,위성의 효율을 높인다
research.data_compression3.name,Data Compression III,Сжатие Данных III,Мәгълүматны кысу III,Compresión de Datos III,데이터 압축 III
research.data_compression3.desc,Increases efficiency of satellites,Увеличивает эффективность спутников,Иярченнәрнең нәтиҗәлелеген арттыра,Aumenta la eficiencia de los satélites,위성의 효율을 높인다
research.communications.name,Communications,Связь,Элемтә,Comunicaciones,통신 위성
research.communications.desc,Unlocks Communication Satellites,Разблокирует Спутники Связи,Элемтә Иярченнәрен ача,Desbloquea Satélites de Comunicaciones,통신 위성을 제공한다
research.orbit_observation.name,Orbit Observation,Наблюдения за Орбитой,Орбитаны күзәтү,Observación de Órbita,궤도 관측
research.orbit_observation.desc,Display the total number of debris in orbit,Отображет общее количество обломков в орбите,Орбитадагы калдыкларның гомуми санын күрсәтә,Muestra el número total de escombros en órbita,궤도에서 떠 있는 잔해의 수를 표시하게 한다
research.debris_cleaning.name,Debris Cleaning,Чистка Обломков,Калдыклардан чистарту,Limpieza de Desechos,잔해 제거
research.debris_cleaning.desc,Unlocks a Debris Cleaning satellite,Разблокирует Спутник-Уборщик Обломков,Калдыкларны җыештыручы Иярченне ача,Desbloquea un Satélite Limpiador de Escombros,잔해 제거 위성을 제공한다
research.collision_avoidance1.name,Collision Avoidance I,Предотвращение Столкновений I,Бәрелешләрне булдырмау I,Prevención de Colisiciones I,충돌 회피 I
research.collision_avoidance1.desc,Satellites actively try to avoid collisions,Спутники активно пытаются избегать столкновений,Иярченнәр бәрелешләрдән качарга тырыша,Los Satélites evitan activamente las colisiones,위성이 충돌을 능동적으로 회피하게 한다
research.collision_avoidance2.name,Collision Avoidance II,Предотвращение Столкновений II,Бәрелешләрне булдырмау II,Prevención de Colisiciones II,충돌 회피 II
research.collision_avoidance2.desc,Satellites actively try to avoid collisions,Спутники активно пытаются избегать столкновений,Иярченнәр бәрелешләрдән качарга тырыша,Los Satélites evitan activamente las colisiones,위성이 충돌을 능동적으로 회피하게 한다
research.automation1.name,Automation I,Автоматизация I,Автоматлаштыру I,Automatización I,자동화 I
research.automation1.desc,Satellites automatically deorbit upon reaching the end of their lifespan,Спутники автоматически выходят с орбиты по истечении срока службы,"Хезмәт итү вакыты тәмамлангач, Иярченнәр автомат рәвештә орбитадан чыгарыла",Los Satélites salen de órbita automáticamente al terminar su vida útil,위성 수명이 다하면 자동으로 궤도에서 벗어나게 한다
research.automation2.name,Automation II,Автоматизация II,Автоматлаштыру II,Automatización II,자동화 II
research.automation2.desc,New satellites are automatically deployed to replace old ones,Новые спутники автоматически запускаются на замену старым,Яңа иярченнәр искергәннәрен алмаштыру өчен автомат рәвештә җибәрелә,Los Satélites salen de órbita automáticamente al terminar su vida útil,위성 수명이 다하면 대체 위성이 자동으로 배치되게 한다
